	Date	Day	IMDB	Place	Rating	Time	Title
2830	2007/06/16	Sat		C2GA Cinema 2 General Admit	PG	11:00	Unfolding Florence
2831	2007/06/16	Sat		C2GA Cinema 2 General Admit	G	16:00	The Sentimental Bloke
2832	2007/06/17	Sun		C1GA Cinema 1 General Admit	G	10:30	Harry Potter and the Chamber of Secrets
2833	2007/06/17	Sun		C1GA Cinema 1 General Admit	G	13:30	Harry Potter and the Chamber of Secrets
2834	2007/06/18	Mon		C2GA Cinema 2 General Admit	PG	13:30	Unfolding Florence
2835	2007/06/22	Fri		C1GA Cinema 1 General Admit		22:00	Allegro non troppo (MIAF special event)
2836	2007/06/23	Sat		C1GA Cinema 1 General Admit	PG	11:00	Unfolding Florence
2837	2007/06/25	Mon		C2GA Cinema 2 General Admit	PG	13:30	Unfolding Florence
2838	2007/06/25	Mon		C1GA Cinema 1 General Admit	M	19:00	Jesus Camp
2839	2007/06/29	Fri		C2GA Cinema 2 General Admit	R18+	19:00	Ma Mere
2840	2007/06/29	Fri		C2GA Cinema 2 General Admit	MA15+	21:15	The Lacemaker
2841	2007/06/29	Fri		C1GA Cinema 1 General Admit	R18+	22:00	Flesh & Blood
2842	2007/06/30	Sat		C2GA Cinema 2 General Admit	M	11:00	Dreamgirls
2843	2007/06/30	Sat		C1GA Cinema 1 General Admit	M	16:00	Mad Max 2
2844	2007/06/30	Sat		C2GA Cinema 2 General Admit	18+	16:30	Slow Motion
2845	2007/06/30	Sat		C2GA Cinema 2 General Admit	M	18:30	Loulou
2846	2007/06/30	Sat		C2GA Cinema 2 General Admit		21:00	Entre Nous (Between Us)
2847	2007/07/01	Sun		C2GA Cinema 2 General Admit	G	10:30	Harry Potter and the Prisoner of Azkaban
2848	2007/07/01	Sun		C2GA Cinema 2 General Admit	G	13:30	Harry Potter and the Prisoner of Azkaban
2849	2007/07/01	Sun		C2GA Cinema 2 General Admit	M	16:45	Cactus
2850	2007/07/01	Sun		C2GA Cinema 2 General Admit	M	19:00	The Separation
2851	2007/07/02	Mon		C2GA Cinema 2 General Admit	G	11:00	Toy Story + Tin Toy
2852	2007/07/02	Mon		C2GA Cinema 2 General Admit	M	13:30	Dreamgirls
2853	2007/07/02	Mon		C1GA Cinema 1 General Admit	G	13:30	Toy Story 2 + Luxu Jr.
2854	2007/07/02	Mon		C2GA Cinema 2 General Admit	18+	18:45	Merci Pour le Chocolat
2855	2007/07/02	Mon		C2GA Cinema 2 General Admit	M	21:00	Story of Women
2856	2007/07/03	Tue		C2GA Cinema 2 General Admit	G	11:00	A Bug's Life + Geri's Game
2857	2007/07/03	Tue		C2GA Cinema 2 General Admit	G	13:30	A Bug's Life + Geri's Game
2858	2007/07/03	Tue		C2GA Cinema 2 General Admit	PG	19:00	Madame Bovary
2859	2007/07/04	Wed		C2GA Cinema 2 General Admit	G	11:00	Monsters Inc. + For the Birds
2860	2007/07/04	Wed		C2GA Cinema 2 General Admit	G	13:30	Monsters Inc. + For the Birds
2861	2007/07/05	Thu		C2GA Cinema 2 General Admit	G	11:00	Finding Nemo + Knick Knack
2862	2007/07/05	Thu		C2GA Cinema 2 General Admit	G	13:30	Finding Nemo + Knick Knack
2863	2007/07/05	Thu		C1GA Cinema 1 General Admit	MA15+	18:45	Time of the Wolf
2864	2007/07/05	Thu		C2GA Cinema 2 General Admit	M	19:00	Jesus Camp
2865	2007/07/05	Thu		C2GA Cinema 2 General Admit	M	21:00	Amateur
2866	2007/07/06	Fri		C2GA Cinema 2 General Admit	PG	11:00	The Incredibles + Boundin'
2867	2007/07/06	Fri		C2GA Cinema 2 General Admit	PG	13:30	The Incredibles + Boundin'
2868	2007/07/06	Fri		C1GA Cinema 1 General Admit	R18+	18:45	The Piano Teacher
2869	2007/07/06	Fri		C2GA Cinema 2 General Admit	M	19:00	Jesus Camp
2870	2007/07/06	Fri		C2GA Cinema 2 General Admit	M	21:15	I Heart Huckabees
2871	2007/07/06	Fri		C1GA Cinema 1 General Admit	PG	22:00	The Phantom of the Opera
2872	2007/07/07	Sat		C2GA Cinema 2 General Admit	M	11:00	Dreamgirls
